                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.97794,                0.70217,                 1.1561,                0.65861,                0.54561,                0.61596,                0.44122,                 1.0579,                0.77039,                  1.152,               0.007129,               0.007129,               0.007129
                     90,                0.99757,                 0.7014,                  1.158,                0.66053,                0.54387,                0.61582,                0.44157,                 1.0585,                0.77014,                 1.1526,               0.007096,               0.007096,               0.007096
                     91,                0.98968,                0.69926,                  1.155,                0.65549,                0.54845,                0.61559,                0.44154,                 1.0592,                 0.7701,                 1.1531,               0.007063,               0.007063,               0.007063
                     92,                0.99347,                0.69932,                 1.1556,                0.65829,                0.54736,                0.61639,                 0.4421,                 1.0603,                0.76994,                 1.1538,                0.00703,                0.00703,                0.00703
                     93,                0.98407,                0.69409,                 1.1492,                0.65597,                0.54967,                0.61628,                0.44172,                 1.0609,                0.76951,                 1.1539,               0.006997,               0.006997,               0.006997
                     94,                0.98397,                0.68857,                  1.152,                0.65307,                0.55142,                0.61574,                0.44132,                 1.0612,                0.76925,                 1.1543,               0.006964,               0.006964,               0.006964
                     95,                 0.9735,                0.68973,                 1.1496,                0.65319,                0.55211,                0.61538,                 0.4411,                 1.0616,                0.76935,                 1.1543,               0.006931,               0.006931,               0.006931
                     96,                0.99385,                0.69377,                 1.1513,                0.65655,                0.55142,                0.61548,                0.44108,                  1.062,                0.76931,                 1.1546,               0.006898,               0.006898,               0.006898
                     97,                0.98115,                 0.6885,                 1.1482,                0.65256,                0.55489,                0.61484,                0.44044,                 1.0625,                 0.7687,                 1.1551,               0.006865,               0.006865,               0.006865
                     98,                0.97745,                0.68177,                 1.1444,                0.65429,                0.55441,                0.61471,                0.44078,                  1.063,                0.76851,                 1.1556,               0.006832,               0.006832,               0.006832
                     99,                0.98355,                0.68715,                 1.1515,                 0.6401,                0.56414,                0.61536,                0.44096,                 1.0631,                0.76838,                 1.1558,               0.006799,               0.006799,               0.006799
                    100,                0.98764,                0.68239,                 1.1487,                0.64199,                0.56286,                0.61523,                0.44086,                 1.0633,                0.76817,                  1.156,               0.006766,               0.006766,               0.006766
                    101,                0.96983,                0.67415,                 1.1392,                0.64086,                0.56358,                0.61562,                0.44116,                 1.0637,                0.76839,                 1.1562,               0.006733,               0.006733,               0.006733
                    102,                0.97271,                0.67401,                 1.1419,                0.64219,                0.56323,                 0.6163,                0.44163,                 1.0637,                 0.7682,                 1.1562,                 0.0067,                 0.0067,                 0.0067
                    103,                0.96922,                0.67506,                 1.1424,                  0.646,                0.56816,                0.61646,                0.44145,                 1.0638,                0.76775,                 1.1562,               0.006667,               0.006667,               0.006667
                    104,                0.96466,                 0.6741,                 1.1419,                0.64201,                0.56959,                 0.6167,                0.44175,                 1.0634,                0.76733,                 1.1561,               0.006634,               0.006634,               0.006634
                    105,                0.96825,                 0.6684,                 1.1386,                0.64379,                0.56875,                0.61651,                0.44157,                 1.0634,                0.76733,                 1.1559,               0.006601,               0.006601,               0.006601
                    106,                0.96585,                0.66851,                 1.1395,                0.65196,                 0.5614,                0.61686,                0.44193,                 1.0639,                0.76741,                 1.1563,               0.006568,               0.006568,               0.006568
                    107,                0.96724,                 0.6658,                 1.1368,                0.65554,                0.55873,                0.61678,                  0.442,                 1.0644,                0.76731,                 1.1565,               0.006535,               0.006535,               0.006535
                    108,                0.96311,                0.67243,                 1.1449,                0.65666,                0.55879,                0.61722,                0.44178,                 1.0647,                0.76752,                 1.1568,               0.006502,               0.006502,               0.006502
                    109,                0.96135,                0.66474,                 1.1381,                0.65903,                0.55736,                0.61743,                 0.4419,                  1.065,                0.76727,                  1.157,               0.006469,               0.006469,               0.006469
                    110,                  0.961,                0.66309,                 1.1353,                0.65562,                0.56099,                0.61751,                0.44209,                 1.0655,                0.76712,                 1.1575,               0.006436,               0.006436,               0.006436
                    111,                0.96661,                0.66016,                 1.1389,                0.65822,                0.55818,                0.61802,                0.44229,                 1.0659,                0.76718,                 1.1579,               0.006403,               0.006403,               0.006403
                    112,                 0.9673,                0.66616,                 1.1392,                0.66047,                0.55735,                0.61815,                0.44262,                 1.0668,                0.76706,                 1.1588,                0.00637,                0.00637,                0.00637
                    113,                 0.9545,                0.65433,                 1.1325,                 0.6443,                0.56895,                0.61849,                 0.4429,                 1.0671,                0.76648,                 1.1592,               0.006337,               0.006337,               0.006337
                    114,                0.95653,                0.65941,                 1.1358,                 0.6439,                 0.5712,                0.61844,                 0.4431,                 1.0671,                 0.7663,                 1.1596,               0.006304,               0.006304,               0.006304
                    115,                0.95702,                0.65386,                 1.1349,                0.64259,                0.57104,                0.61823,                0.44286,                 1.0676,                 0.7658,                 1.1603,               0.006271,               0.006271,               0.006271
                    116,                0.96514,                0.65649,                 1.1367,                0.64385,                0.57052,                0.61875,                0.44305,                 1.0671,                0.76606,                 1.1599,               0.006238,               0.006238,               0.006238
                    117,                0.95574,                 0.6533,                 1.1323,                0.64673,                 0.5685,                0.61887,                0.44295,                 1.0674,                0.76591,                 1.1603,               0.006205,               0.006205,               0.006205
                    118,                0.95645,                0.65135,                 1.1331,                0.64821,                0.56781,                0.61887,                0.44264,                  1.068,                0.76568,                 1.1605,               0.006172,               0.006172,               0.006172
                    119,                0.94808,                 0.6473,                 1.1271,                0.63619,                 0.5812,                0.61883,                0.44269,                  1.068,                0.76556,                 1.1607,               0.006139,               0.006139,               0.006139
                    120,                0.96028,                0.64881,                 1.1332,                0.63452,                0.58256,                0.61874,                0.44222,                 1.0679,                0.76546,                 1.1607,               0.006106,               0.006106,               0.006106
                    121,                0.94512,                0.64431,                 1.1294,                0.63377,                0.58323,                0.61861,                0.44228,                 1.0684,                 0.7652,                 1.1611,               0.006073,               0.006073,               0.006073
                    122,                0.95124,                0.64594,                  1.128,                0.63699,                0.58258,                0.61889,                0.44226,                 1.0681,                0.76514,                 1.1609,                0.00604,                0.00604,                0.00604
                    123,                 0.9459,                0.64198,                 1.1298,                0.63583,                0.58163,                0.61893,                0.44214,                 1.0681,                0.76504,                 1.1609,               0.006007,               0.006007,               0.006007
                    124,                0.94678,                0.64436,                  1.127,                0.63826,                0.57985,                0.61912,                 0.4425,                 1.0685,                0.76489,                 1.1612,               0.005974,               0.005974,               0.005974
                    125,                0.94218,                0.63855,                 1.1233,                0.64329,                0.57837,                0.61927,                0.44243,                 1.0688,                0.76461,                 1.1614,               0.005941,               0.005941,               0.005941
                    126,                0.94298,                0.63335,                 1.1261,                0.64556,                0.57881,                0.61928,                 0.4425,                 1.0688,                0.76461,                 1.1616,               0.005908,               0.005908,               0.005908
                    127,                0.93474,                0.63261,                 1.1209,                0.64404,                0.58066,                0.61989,                0.44234,                 1.0687,                0.76484,                 1.1614,               0.005875,               0.005875,               0.005875
                    128,                 0.9331,                0.63116,                 1.1209,                0.64382,                0.58088,                0.61963,                 0.4427,                 1.0685,                0.76522,                 1.1608,               0.005842,               0.005842,               0.005842
                    129,                0.93899,                0.63046,                 1.1207,                0.64501,                0.58038,                0.61928,                0.44268,                 1.0686,                0.76544,                  1.161,               0.005809,               0.005809,               0.005809
                    130,                0.93584,                0.63032,                 1.1214,                0.64871,                0.57826,                0.61952,                0.44254,                 1.0689,                0.76535,                 1.1613,               0.005776,               0.005776,               0.005776
                    131,                0.93756,                0.62766,                 1.1221,                0.64876,                0.57772,                0.61931,                0.44231,                 1.0695,                0.76561,                 1.1619,               0.005743,               0.005743,               0.005743
                    132,                0.92222,                0.62229,                 1.1184,                0.65234,                0.57427,                0.61934,                0.44249,                 1.0698,                0.76582,                 1.1622,                0.00571,                0.00571,                0.00571
                    133,                0.93052,                0.62635,                 1.1183,                0.65155,                0.57522,                0.61942,                0.44249,                   1.07,                0.76577,                 1.1625,               0.005677,               0.005677,               0.005677
                    134,                0.93002,                0.61821,                 1.1153,                0.66299,                0.56683,                0.61933,                0.44217,                 1.0705,                0.76584,                 1.1628,               0.005644,               0.005644,               0.005644
